
4  43.40630556  132.17286111 000059 10930 018     060.940 ILS  UHWW 07R ILS-cat-I
4  43.38552778  132.12138889 000059 11010 018     240.948 ILN  UHWW 25L ILS-cat-II
6  43.39161111  132.13336111 000059 10930 010     300060.940 ILS  UHWW 07R GS
6  43.40422222  132.16461111 000059 11010 010     300240.948 ILN  UHWW 25L GS
12  43.39161111  132.13336111 000059 10930 025    0.000 ILS  UHWW 07R DME-ILS
12  43.40422222  132.16461111 000059 11010 025    0.000 ILN  UHWW 25L DME-ILS
